Name,Club,Currency,Value
Nathan Aké,Bournemouth,£,25200000.0
Max Kilman,Wolves,£,720000.0
Richarlison,Everton,£,46800000.0
Billy Gilmour,Chelsea,£,4860000.0
Kieran Dowell,Everton,£,1800000.0
Ben Chilwell,Leicester,£,36000000.0
Jamaal Lascelles,Newcastle,£,13050000.0
Leroy Sané,Man City,£,72000000.0
Georginio Wijnaldum,Liverpool,£,36000000.0
Lukasz Fabianski,West Ham,£,2880000.0
Muhamed Besic,Everton,£,2160000.0
Mason Holgate,Everton,£,12150000.0
Ross Barkley,Chelsea,£,19350000.0
Kieran Tierney,Arsenal,£,18000000.0
Demarai Gray,Leicester,£,13050000.0
Ryan Bertrand,Southampton,£,9450000.0
Anthony Gordon,Everton U23,£,1170000.0
Matt Doherty,Wolves,£,14400000.0
Jan Bednarek,Southampton,£,10800000.0
Gylfi Sigurdsson,Everton,£,20250000.0
Mesut Özil,Arsenal,£,15750000.0
Diogo Jota,Wolves,Â£,25200000.0
Pedro Neto,Wolves,£,10350000.0
Arnaut Danjuma,Bournemouth,£,8550000.0
James Chester,Aston Villa,£,2160000.0
Jermain Defoe,Bournemouth,£,1260000.0
Moise Kean,Everton,£,22500000.0
Ming-Yang Yang,Wolves,£,225000.0
Jack Stephens,Southampton,£,4950000.0
Will Norris,Wolves,£,225000.0
Serge Aurier,Spurs,£,14400000.0
Sokratis,Arsenal,£,13050000.0
Fabian Delph,Everton,£,10800000.0
